City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,xilin hot,43.9667,116.0333,54.63,25,7,6.67,CN,1715119781
314,malpica,43.3228,-8.8105,57.36,69,100,12.48,ES,1715119781
315,nadvoitsy,63.8667,34.3167,22.41,83,47,9.89,RU,1715119781
316,saint croix,17.7397,-64.7388,78.96,85,27,1.01,VI,1715119781
317,christchurch,-43.5333,172.6333,51.42,87,3,1.14,NZ,1715119584
318,nepanagar,21.4667,76.4,84.18,52,0,11.68,IN,1715119757
319,uusikaupunki,60.8004,21.4084,34.32,66,54,7.02,FI,1715119782
320,fruita,39.1589,-108.729,65.55,18,0,24.16,US,1715119782
321,lepsy,46.235,78.9456,65.75,44,81,2.89,KZ,1715119782
322,pisco,-13.7,-76.2167,69.85,78,83,24.16,PE,1715119782
323,sao raimundo nonato,-9.0153,-42.6994,84.27,51,98,8.72,BR,1715119592
324,orosei,40.3798,9.6929,57.43,76,3,5.46,IT,1715119782
325,bayanhongor,46.7167,100.1167,47.52,59,100,5.93,MN,1715119782
326,gadzhiyevo,69.2551,33.3362,23.2,72,97,6.58,RU,1715119782
327,tobarra,38.5921,-1.6919,63.18,53,28,2.24,ES,1715119782
328,macusani,-14.0833,-70.4333,45.64,81,78,4.03,PE,1715119783
329,saint-joseph,-21.3667,55.6167,71.98,70,24,15.21,RE,1715119783
330,alzamay,55.5562,98.6644,37.29,65,5,4.92,RU,1715119783
331,narwana,29.6167,76.1167,86.58,26,0,7.72,IN,1715119783
332,ahar,38.4774,47.0699,46.74,73,33,5.01,IR,1715119783
333,howrah,22.5892,88.3103,73.4,88,75,6.91,IN,1715119783
334,tobelo,1.7284,128.0095,81.48,79,100,3.78,ID,1715119783
335,noyabrsk,63.1994,75.4507,35.24,100,100,7.0,RU,1715119783
336,kerema,-7.9631,145.7785,79.65,83,100,1.45,PG,1715119783
337,zinder,13.8072,8.9881,92.08,11,97,6.15,NE,1715119783
338,sanctuary point,-35.1114,150.629,61.32,80,86,4.29,AU,1715119784
339,makokou,0.5738,12.8642,73.49,92,100,1.03,GA,1715119784
340,kedougou,12.5579,-12.1743,94.5,21,4,1.54,SN,1715119784
341,keflavik,64.0049,-22.5624,39.63,81,40,14.97,IS,1715119784
342,bam,29.106,58.357,82.56,19,3,8.79,IR,1715119784
343,odda,60.0691,6.5457,51.76,100,100,3.18,NO,1715119784
344,lagodekhi,41.8268,46.2767,56.3,92,79,0.96,GE,1715119784
345,nizhniy kuranakh,58.8353,125.4869,37.76,99,100,1.41,RU,1715119784
346,nehe,48.4833,124.8333,59.5,27,74,12.86,CN,1715119784
347,necochea,-38.5473,-58.7368,59.4,95,100,13.62,AR,1715119516
348,nabire,-3.3667,135.4833,77.25,91,100,3.36,ID,1715119785
349,fale old settlement,-9.3852,-171.2468,85.01,75,81,9.98,TK,1715119785
350,impfondo,1.6381,18.0667,77.63,76,93,1.16,CG,1715119785
351,kirakira,-10.4544,161.9205,83.07,78,100,8.86,SB,1715119785
352,revda,56.801,59.9303,41.5,86,100,13.35,RU,1715119785
353,teluknaga,-6.0989,106.6381,81.18,83,20,5.75,ID,1715119785
354,kourou,5.1552,-52.6478,82.45,84,100,7.45,GF,1715119785
355,yuktae-dong,40.0247,128.1597,49.96,81,4,4.74,KP,1715119785
356,waiuku,-37.25,174.75,55.33,70,5,4.52,NZ,1715119785
357,bahia honda,22.9036,-83.1592,87.03,61,18,13.69,CU,1715119785
358,kaoma,-14.7833,24.8,73.8,52,85,2.55,ZM,1715119785
359,lorengau,-2.0226,147.2712,80.85,89,99,17.0,PG,1715119786
360,maintirano,-18.0667,44.0167,75.61,72,15,7.36,MG,1715119786
361,bichena,10.45,38.2,65.84,48,99,2.17,ET,1715119786
362,sao joao da barra,-21.6403,-41.0511,77.09,88,0,10.76,BR,1715119493
363,novoagansk,61.9449,76.6625,34.75,98,100,10.6,RU,1715119786
